id,timestamp,source,rating,feedback_text
1847,,app_store_review,1,THANK YOU TO THE AGENT PRIYA WHO HANDLED MY COMPLAINT SO WELL - MY GROCERIES ORDER IN PUNE
1695,02-Feb-24,app_store_review,,"Five stars, the app is fantastic and reliable (order #409153)"
2771,02/14/2024,app_store_review,1,"Cannot add address, the save button is greyed out"
2770,03/15/2024,survey_comment,3,Works fine for me most of the time
2075,04/01/2024,app_store_review,1,Coupon SAVE50 did not apply at checkout and I paid full price - my sushi order in Bangalore
2529,2024-03-25 16:31:48,app_store_review,5,"Oh great, crashed again right at checkout, just love it"
2584,"March 18, 2024",support_ticket,2,Login keeps failing and when I finally got in the coupon did not apply either
2114,"January 21, 2024",survey_comment,2,"My refund still hasn't cooome after 10 days, this is ridiculous (order #190615)"
2716,,app_store_review,5,Why is there a service fee I never agreed to on my bill
2528,13-Mar-24,app_store_review,5,"Wonderful, charged me twice, exactly what I wanted today"
2497,"January 5, 2024",support_ticket,2,Driver could not find my building and just cancelled - my groceries order in Bangalore
2281,01-Mar-24,app_store_review,1,Payment failed but money got deducted from my account Agent Priya was handling it.
1591,"March 16, 2024",survey_comment,3,"Average experience, could be better"
2224,10/01/2024,support_ticket,3,App stuck on loading screen for 5 minutes then closed (order #363537)
1054,01/27/2024,app_store_review,2,The store staff was friendly when I picked up my order (order #132537)
1493,"February 9, 2024",support_ticket,1,"Items were missing from my delivery, got only half the order (order #133795)"
2001,,survey_comment,,Payment failed but money got deducted from my account (order #536535)
2710,Jan 18 2024,app_store_review,5,Order marked delivered but nothing arrived at my place
1689,Feb 24 2024,app_store_review,2,The invoice amount does not match what the app showed me
2655,03/03/2024,survey_comment,,....
1436,Feb 6 2024,survey_comment,4,"Great experience overall, food always fresh - my thali order in Kolkata"
2234,2024-01-19 03:48:15,survey_comment,1,Nobody from support replied to my three emails
1682,01-Jan-24,app_store_review,1,"Items were missing from my delivery, got only half the order (order #908323)"
1508,Mar 21 2024,app_store_review,3,"PACKAGE WAS LEFT AT THE WRONG DOOR, I NEVER RECEIVED IT AGENT PRIYA WAS HANDLING IT."
2384,2024-03-26 09:12:43,survey_comment,2,The new version drains my battery so fast Agent Meera was handling it.
2039,13-Feb-24,app_store_review,2,The new version drains my battery so fast - my groceries order in Pune
1377,2024-03-25,support_ticket,2,"Package was left at the wrong door, I never received it Agent Vikram was handling it."
2530,2024-02-28,app_store_review,4,"BRILLIANT, MY REFUND IS 'ON THE WAY' FOR THE THIRD WEEK NOW, LOVELY"
2069,2024-03-23,app_store_review,4,"Love this app, ordering is so smooth and fast - my milk order in Bangalore"
1544,Feb 24 2024,support_ticket,2,Delivery person was rude and threw the bag on the floor (order #137042)
2583,2024-02-25 07:52:32,support_ticket,1,Order came late AND I was charged a delivery fee that should have been free
2576,02/24/2024,app_store_review,1,Login keeps failing and when I finally got in the coupon did not apply either
1788,,app_store_review,3,meh
2578,Mar 19 2024,support_ticket,1,Order came late AND I was charged a delivery fee that should have been free
2204,10-Jan-24,app_store_review,3,"It is okay, nothing special"
2625,,support_ticket,3,👍
1692,2024-01-05,survey_comment,2,Nobody from support replied to my three emails - my thali order in Kolkata
1754,,support_ticket,3,"It is okay, nothing special"
2610,03-Feb-24,app_store_review,,Please add more vegan restaurants to the platform
1350,11/02/2024,app_store_review,5,"Love this app, ordering is so smooth and fast (order #245117)"
1852,02/17/2024,survey_comment,3,"It is okay, nothing special"
1801,12-Jan-24,app_store_review,2,Search bar shows no results even for items that exist (order #954678)
1882,2024-01-06 00:03:42,support_ticket,1,Notifications stopped working after the update Agent Meera was handling it.
2713,2024-01-19,app_store_review,5,Coupon SAVE50 did not apply at checkout and I paid full price
2368,07-Feb-24,survey_comment,1,Thank you to the agent Priya who handled my complaint so well (order #262315)
2092,2024-01-23,support_ticket,1,"Cannot add address, the save button is greyed out Agent Rahul was handling it."
2437,Jan 12 2024,app_store_review,2,"Cannot add address, the save button is greyed out Agent Vikram was handling it.!!!!"
2254,02/13/2024,app_store_review,3,"My refund still hasn't come after 10 days, this is ridiculous (order #523158)"
1642,2024-03-27,app_store_review,3,"Average experience, could be better"
1126,,survey_comment,3,Login button does nothing on the latest update Agent Rahul was handling it.!!!!
1768,2024-03-07 12:44:23,survey_comment,2,WHY IS THERE A SERVICE FEE I NEVER AGREED TO ON MY BILL
2315,2024-03-28,app_store_review,,"Average experience, could be better"
1230,2024-03-11 12:51:55,app_store_review,1,  Thank you to the agent Priya who handled my complaint so well (order #419457)   
2670,,support_ticket,1,Pedido llego tarde y faltaban articulos
1244,13-Feb-24,app_store_review,2,Coupon SAVE50 did not apply at checkout and I paid full price (order #491439)
2098,Mar 12 2024,app_store_review,2,Nobody from support replied to my three emails (order #467476)
1447,2024-02-10,support_ticket,1,  Login button does nothing on the latest update (order #660957)   
1712,21-Feb-24,support_ticket,2,"Package was left at the wrong door, I never received it"
1703,25/03/2024,survey_comment,1,Thank you to the agent Priya who handled my complaint so well (order #456855)
2185,02/28/2024,app_store_review,1,"Package was left at the wrong door, I never received it"
1677,Jan 6 2024,survey_comment,,"Items were missing frooom my delivery, got only half the order (order #198123)"
1495,2024-01-17,support_ticket,4,"Super easy to use and quick checkout, well done team Agent Neha was handling it."
1623,"January 25, 2024",app_store_review,2,SEARCH BAR SHOWS NO RESULTS EVEN FOR ITEMS THAT EXIST. THIS IS THE FIRST TIME.
1501,01/28/2024,survey_comment,3,My order arrived almost an hour late and the food was cold Agent Vikram was handling it.
1018,2024-01-02 02:57:02,support_ticket,3,  Customer care kept me on hold for 40 minutes then disconnected. This is the first time.   
2326,"March 11, 2024",survey_comment,1,Waited two hours and the order was finally cancelled by the app. This is the third time.
1478,01/02/2024,survey_comment,1,Notifications stopped working after the update. This is the fourth time.
1376,17-Jan-24,support_ticket,5,"Five stars, the app is fantastic and reliable - my milk order in Delhi"
2476,,support_ticket,,Delivery persooon was rude and threw the bag on the floor. This is the fourth time.
1567,2024-03-02,app_store_review,4,"Five stars, the app is fantastic and reliable - my biryani order in Chennai"
1761,,survey_comment,,"Package was left at the wrong door, I never received it. This is the second time."
1458,2024-02-17,survey_comment,3,  App stuck on loading screen for 5 minutes then closed. This is the fourth time.   
1479,28/02/2024,app_store_review,5,"Love this app, ordering is so smooth and fast Agent Meera was handling it."
2245,Feb 24 2024,app_store_review,1,"Package was left at the wrong door, I never received it - my thali order in Chennai"
1180,09-Feb-24,app_store_review,3,"Cannot add address, the save button is greyed out - my milk order in Delhi"
1653,"March 11, 2024",app_store_review,,"Average experience, could be better"
2791,2024-01-16,app_store_review,5,why is there a service fee i never agreed to on my bill
2270,Jan 2 2024,app_store_review,,"Average experience, could be better"
1558,,support_ticket,3,Works fine for me most of the time!!!!
1108,,support_ticket,1,The support agent was very helpful and solved my issue quickly (order #602248)
1148,"February 2, 2024",support_ticket,1,"  Items were missing from my delivery, got only half the order   "
2606,Mar 22 2024,survey_comment,,What are your office timings on weekends
2321,"January 14, 2024",app_store_review,,"  It is okay, nothing special   "
1621,"January 1, 2024",survey_comment,3,"  I was charged twice for the same order, please refund the extra amount - my fruits order in Pune   "
1726,03-Mar-24,support_ticket,,Thank you to the agent Priya who handled my complaint so well Agent Anil was handling it.
1254,Mar 3 2024,survey_comment,,"Super easy to use and quick checkout, well done team - my fruits order in Chennai"
2787,"March 24, 2024",app_store_review,3,Works fine for me most of the time.
2194,Jan 25 2024,app_store_review,3,ok i guess
2108,,app_store_review,1,Coupon SAVE50 did not apply at checkout and I paid full price (order #160006)
1600,2024-01-18,app_store_review,1,App keeps crashing every time I open the cart Agent Vikram was handling it.!!!!
1955,,support_ticket,1,COUPON SAVE50 DID NOT APPLY AT CHECKOUT AND I PAID FULL PRICE
1186,24/02/2024,app_store_review,3,meh
2718,2024-03-01 13:11:22,app_store_review,5,"I was charged twice for the same order, please refund the extra amount"
1568,2024-01-21,app_store_review,3,  ok i guess   
2056,02/08/2024,survey_comment,2,"My refund still hasn't come after 10 days, this is ridiculous"
2242,12/02/2024,survey_comment,2,The store staff was friendly when I picked up my order - my fruits order in Mumbai
1207,"March 24, 2024",app_store_review,2,App keeps crashing every time I ooopen the cart
2793,2024-02-06 04:29:37,app_store_review,3,  App stuck on loading screen for 5 minutes then closed (order #220898)
